date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
2020-01-09,103,17,1,0,1,0,1,0
2020-01-10,105,14,0,0,0,0,1,0
2020-01-11,89,12,0,0,0,0,1,0
2020-01-12,67,6,0,0,0,0,1,0
2020-01-13,91,10,0,0,0,0,1,0
2020-01-14,101,17,3,0,3,0,4,0
2020-01-15,129,18,0,0,0,0,4,0
2020-01-16,101,22,1,0,1,0,5,0
2020-01-17,102,9,0,0,0,0,5,0
2020-01-18,88,8,2,0,2,0,7,0
2020-01-19,108,10,4,0,3,0,11,0
2020-01-20,110,10,6,0,5,0,17,0
2020-01-21,125,22,15,1,10,1,32,1
2020-01-22,119,23,14,2,10,1,46,3
2020-01-23,136,16,17,1,11,1,63,4
2020-01-24,150,20,23,1,14,1,86,5
2020-01-25,89,8,15,2,15,2,101,7
2020-01-26,94,6,23,3,23,3,124,10
2020-01-27,142,20,20,1,12,1,144,11
2020-01-28,104,20,18,3,15,2,162,14
2020-01-29,114,15,24,3,19,2,186,17
2020-01-30,105,19,29,4,23,3,215,21
2020-01-31,146,36,48,7,26,4,263,28
2020-02-01,84,14,17,4,17,4,280,32
2020-02-02,84,36,23,1,19,1,303,33
2020-02-03,118,21,25,5,18,4,328,38
2020-02-04,119,21,22,3,16,2,350,41
2020-02-05,126,16,18,2,13,1,368,43
2020-02-06,128,23,14,4,9,3,382,47
2020-02-07,116,15,25,8,19,6,407,55
2020-02-08,90,7,20,2,21,2,427,57
2020-02-09,106,10,14,6,12,5,441,63
2020-02-10,96,12,14,2,13,2,455,65
2020-02-11,118,17,28,6,21,4,483,71
2020-02-12,111,20,19,2,15,2,502,73
2020-02-13,120,15,32,5,24,4,534,78
2020-02-14,103,14,23,6,20,5,557,84
2020-02-15,87,15,14,7,14,7,571,91
2020-02-16,87,7,15,1,16,1,586,92
2020-02-17,104,11,14,4,12,3,600,96
2020-02-18,128,12,23,3,16,2,623,99
2020-02-19,97,13,13,2,12,2,636,101
2020-02-20,120,21,8,2,6,1,644,103
