date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
2020-01-09,106,17,1,0,1,0,1,0
2020-01-10,105,14,0,0,0,0,1,0
2020-01-11,89,12,0,0,0,0,1,0
2020-01-12,67,6,0,0,0,0,1,0
2020-01-13,92,10,0,0,0,0,1,0
2020-01-14,101,17,3,0,3,0,4,0
2020-01-15,129,18,0,0,0,0,4,0
2020-01-16,101,22,1,0,1,0,5,0
2020-01-17,102,9,0,0,0,0,5,0
2020-01-18,88,8,2,0,2,0,7,0
2020-01-19,113,10,4,0,3,0,11,0
2020-01-20,110,10,6,0,5,0,17,0
2020-01-21,125,22,15,1,10,1,32,1
2020-01-22,122,23,14,2,10,1,46,3
2020-01-23,138,16,17,1,11,1,63,4
2020-01-24,150,20,23,1,14,1,86,5
2020-01-25,89,8,15,2,15,2,101,7
2020-01-26,94,6,23,3,23,3,124,10
2020-01-27,142,20,20,1,12,1,144,11
2020-01-28,104,20,18,3,15,2,162,14
2020-01-29,114,15,24,3,19,2,186,17
2020-01-30,105,19,29,4,23,3,215,21
2020-01-31,146,36,48,7,26,4,263,28
2020-02-01,84,14,17,4,17,4,280,32
2020-02-02,89,36,26,1,21,1,306,33
2020-02-03,118,21,25,5,18,4,331,38
2020-02-04,119,21,22,3,16,2,353,41
2020-02-05,126,16,18,2,13,1,371,43
2020-02-06,129,23,15,4,10,3,386,47
2020-02-07,116,15,25,8,19,6,411,55
2020-02-08,90,7,20,2,21,2,431,57
2020-02-09,107,10,15,6,13,5,446,63
2020-02-10,96,12,14,2,13,2,460,65
2020-02-11,118,17,28,6,21,4,488,71
2020-02-12,111,21,19,2,14,2,507,73
2020-02-13,120,15,32,5,24,4,539,78
2020-02-14,103,14,23,6,20,5,562,84
2020-02-15,87,15,14,7,14,7,576,91
2020-02-16,87,7,15,1,16,1,591,92
2020-02-17,104,11,14,4,12,3,605,96
2020-02-18,128,12,23,3,16,2,628,99
2020-02-19,97,13,13,2,12,2,641,101
2020-02-20,120,21,8,2,6,1,649,103
2020-02-21,110,22,18,3,14,2,667,106
2020-02-22,72,13,22,7,26,8,689,113
2020-02-23,92,9,22,3,22,3,711,116
2020-02-24,130,21,54,8,36,5,765,124
2020-02-25,117,20,60,11,44,8,825,135
2020-02-26,141,13,69,7,45,5,894,142
2020-02-27,138,20,78,9,49,6,972,151
2020-02-28,117,21,53,9,38,7,1025,160
2020-02-29,121,22,29,5,20,3,1054,165
2020-03-01,112,15,37,4,29,3,1091,169
2020-03-02,122,25,63,10,43,7,1154,179
2020-03-03,150,24,55,7,32,4,1209,186
2020-03-04,126,30,48,11,31,7,1257,197
2020-03-05,129,28,64,14,41,9,1321,211
2020-03-06,131,21,66,10,43,7,1387,221
2020-03-07,76,9,42,6,49,7,1429,227
2020-03-08,111,11,55,9,45,7,1484,236
2020-03-09,122,28,73,7,49,5,1557,243
2020-03-10,134,24,91,16,58,10,1648,259
2020-03-11,139,28,90,14,54,8,1738,273
2020-03-12,148,28,130,24,74,14,1868,297
2020-03-13,152,22,123,18,71,10,1991,315
2020-03-14,94,11,80,10,76,10,2071,325
2020-03-15,95,10,88,9,84,9,2159,334
2020-03-16,133,22,122,19,79,12,2281,353
2020-03-17,143,23,130,21,78,13,2411,374
2020-03-18,134,24,124,20,78,13,2535,394
2020-03-19,118,20,111,15,80,11,2646,409
2020-03-20,128,24,115,21,76,14,2761,430
2020-03-21,98,11,91,11,83,10,2852,441
2020-03-22,83,14,76,13,78,13,2928,454
2020-03-23,123,18,117,16,83,11,3045,470
2020-03-24,119,16,107,14,79,10,3152,484
2020-03-25,141,26,131,24,78,14,3283,508
2020-03-26,110,26,103,24,76,18,3386,532
2020-03-27,144,25,137,23,81,14,3523,555
2020-03-28,85,15,83,15,83,15,3606,570
2020-03-29,86,14,80,12,80,12,3686,582
2020-03-30,107,24,105,21,80,16,3791,603
2020-03-31,114,20,110,17,82,13,3901,620
2020-04-01,118,17,111,12,82,9,4012,632
2020-04-02,113,24,110,21,80,15,4122,653
2020-04-03,119,28,114,26,78,18,4236,679
2020-04-04,81,13,73,12,78,13,4309,691
